Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
8422,01/22/1999,02/18/1999,1999,Residential   El  Amplification Equip,20874
20172528,11/27/2017,12/08/2017,2017,Residential   Construction/repair/demolition,20854
19581,10/05/2007,10/29/2007,2007,Industrial/commercial   Equipment Noise,20861
2014330,03/10/2014,03/31/2014,2014,Residential Muti Tenant Dwelling,20906
20242039,07/22/2024,08/07/2024,2024,Industrial/commercial   Electrical Amp Equip,20853
20151980,07/23/2015,08/21/2015,2015,Industrial/commercial   Equipment Noise,20850
20152500,12/04/2015,12/16/2015,2015,Industrial/commercial  construction/repair/demolit,20910
20241731,05/28/2024,10/01/2024,2024,Noise Industrial/commercial   Leaf Blower Noise,20902
20171179,02/17/2017,04/17/2017,2017,Residential Muti Tenant Dwelling,20904
20222098,08/15/2022,08/18/2022,2022,Residential   El  Amplification Equip,20912
20212325,08/30/2021,09/20/2021,2021,Industrial/commercial   Equipment Noise,20910
20191033,01/11/2019,01/29/2019,2019,Residential   Construction/repair/demolition,20901
20171560,05/15/2017,08/03/2017,2017,Waiver Request,20854
9533,02/18/1998,10/19/1999,1998,Residential House/yard,20872
26198,03/30/2012,04/19/2012,2012,Industrial/commercial   Equipment Noise,20852
20192481,10/01/2019,10/21/2019,2019,Residential   El  Amplification Equip,20902
18393,11/17/2006,12/14/2006,2006,Residential   Construction/repair/demolition,20815
2014376,03/24/2014,04/16/2014,2014,Residential   El  Amplification Equip,20876
619,06/21/2000,09/13/2000,2000,Industrial/commercial  construction/repair/demolit,20854
20232065,08/07/2023,09/05/2023,2023,Residential   El  Amplification Equip,20886
20241801,06/10/2024,07/12/2024,2024,Residential   Motor Vehicle Noise,20912
20242171,08/19/2024,02/06/2025,2024,Residential   El  Amplification Equip,20902
20221916,07/08/2022,07/08/2022,2022,Waiver Request,20852
20171825,06/19/2017,07/06/2017,2017,Residential   El  Amplification Equip,20882
20192490,10/02/2019,06/09/2020,2019,Industrial/commercial   Refuse Noise Collection,20910
20212086,07/12/2021,10/08/2021,2021,Residential   El  Amplification Equip,20854
5676,04/16/1996,05/07/1996,1996,Residential House/yard,20837
19974,02/08/2008,02/13/2008,2008,Industrial/commercial  construction/repair/demolit,20906
18074,08/21/2006,09/14/2006,2006,Residential   El  Amplification Equip,20886
20151849,06/29/2015,11/20/2015,2015,Waiver Request,20814
2259,10/25/2001,11/15/2001,2001,Industrial/commercial  construction/repair/demolit,20910
9289,12/06/1999,07/06/2000,1999,Industrial/commercial  construction/repair/demolit,20814
20161940,07/20/2016,08/01/2016,2016,Residential   Mechanical,20882
20151616,05/07/2015,05/11/2015,2015,Industrial/commercial  construction/repair/demolit,20852
20161435,05/03/2016,10/21/2016,2016,Residential Muti Tenant Dwelling,20874
17899,07/12/2006,07/19/2006,2006,Industrial/commercial   heat Pump/ac Noise,20860
20232032,08/01/2023,08/08/2023,2023,Residential   El  Amplification Equip,20874
20182109,08/06/2018,12/12/2018,2018,Industrial/commercial   Equipment Noise,20850
9561,02/25/1998,03/19/1998,1998,Industrial/commercial   Equipment Noise,20814
20182424,10/19/2018,04/16/2019,2018,Residential Muti Tenant Dwelling,20815
20231720,06/01/2023,07/06/2023,2023,Residential Muti Tenant Dwelling,20872
20222427,10/31/2022,01/03/2023,2022,Noise Industrial/commercial   Leaf Blower Noise,20854
20131062,08/22/2013,09/04/2013,2013,Residential   El  Amplification Equip,20876
10485,09/25/1998,10/15/1998,1998,Residential   Construction/repair/demolition,20876
26865,08/13/2012,09/14/2012,2012,Residential   Mechanical,20902
12735,04/29/2003,05/09/2003,2003,Industrial/commercial   Electrical Amp Equip,20874
20161147,02/18/2016,03/08/2016,2016,Industrial/commercial  construction/repair/demolit,20814
2295,07/27/2001,07/31/2001,2001,Industrial/commercial   Equipment Noise,20902
14906,06/30/2004,07/19/2004,2004,Industrial/commercial  construction/repair/demolit,20910
20172132,08/22/2017,11/07/2017,2017,Industrial/commercial   Electrical Amp Equip,20868
19131,06/04/2007,06/18/2007,2007,Residential   Mechanical,20871
1990901219,06/20/1990,07/03/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,20866
2112,06/04/2001,07/05/2001,2001,Industrial/commercial   Equipment Noise,20853
20202063,06/22/2020,07/07/2020,2020,Residential   Construction/repair/demolition,20852
27310,11/21/2012,04/23/2013,2012,Industrial/commercial  construction/repair/demolit,20814
21230,01/16/2009,08/18/2009,2009,Industrial/commercial   Equipment Noise,20815
20151851,06/30/2015,07/07/2015,2015,Industrial/commercial   Equipment Noise,20901
20242587,11/12/2024,12/03/2024,2024,Residential   El  Amplification Equip,20852
25656,11/08/2011,12/28/2011,2011,Industrial/commercial   Equipment Noise,20842
7578,07/22/1997,08/22/1997,1997,Residential House/yard,20910
20192088,07/11/2019,07/15/2019,2019,Residential   Construction/repair/demolition,20814
22582,10/28/2009,11/02/2009,2009,Industrial/commercial  construction/repair/demolit,20910
5890,06/03/1996,10/29/1996,1996,Residential   Mechanical,20853
26878,08/15/2012,09/18/2012,2012,Residential Muti Tenant Dwelling,20910
20162264,09/23/2016,10/07/2016,2016,Noise Industrial/commercial   Leaf Blower Noise,20815
20192628,11/01/2019,02/13/2020,2019,Waiver Request,20814
13525,10/01/2003,12/15/2003,2003,Residential   Construction/repair/demolition,20817
7123,04/17/1997,06/11/1997,1997,Residential House/yard,20912
20162510,11/23/2016,12/29/2016,2016,Industrial/commercial  construction/repair/demolit,20895
1191,11/03/2000,11/26/2000,2000,Industrial/commercial  construction/repair/demolit,20910
7769,10/09/1997,11/04/1997,1997,Residential House/yard,20854
