License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17029,Courts Of Madison I I,641 Sligo Ave,Silver Spring,20910,174569,-77.016011736,38.991191045,09/20/2022,,3,1,19,17,2.11,1.46,6,0.00,0.17,at-risk,"(38.9912, -77.016)"
17971,"Hampden Lane, 4909",4909 Hampden Ln,Bethesda,20814,176722,-77.09676654,38.982895758,04/26/2023,,3,1,6,6,2.00,1.36,0,0.00,0.00,compliant,"(38.9829, -77.0968)"
18219,"Bonifant Street, 941-",941 Bonifant St,Silver Spring,20910,174515,-77.025491059,38.99407512,09/16/2022,,3,1,2,3,1.00,1.00,2,0.00,0.00,compliant,"(38.9941, -77.0255)"
17242,Pine Ridge,8617 Piney Branch Rd,Silver Spring,20901,177522,-76.999493326,38.996477629,03/28/2023,,3,1,155,43,0.86,0.85,22,0.00,0.00,compliant,"(38.9965, -76.9995)"
18217,"Bonifant Street, 939",939 Bonifant St,Silver Spring,20910,174516,-77.025371472,38.994124555,09/16/2022,,3,1,2,1,2.00,1.00,0,0.00,0.00,compliant,"(38.9941, -77.0254)"
17197,Elizabeth House,1400 Fenwick Ln,Silver Spring,20910,177534,-77.032863025,38.996770797,05/17/2023,,3,1,160,0,0.00,0.00,0,0.00,0.00,TBD,"(38.9968, -77.0329)"
18568,Greenhills,10577 Tralee Ter,Damascus,20872,176713,-77.215284374,39.269739064,01/18/2023,,3,1,77,16,0.50,0.58,11,0.00,0.00,compliant,"(39.2697, -77.2153)"
17236,Claridge House,2445 Lyttonsville Rd,Silver Spring,20910,177568,-77.052488868,38.999917201,04/17/2023,,3,1,241,57,0.24,0.31,50,0.00,0.00,compliant,"(38.9999, -77.0525)"
90131,Enclave Silver Spring,11225 Oak Leaf Dr,Silver Spring,20901,176784,-76.995328311,39.03895774,02/07/2023,,1,0,1119,1069,2.89,1.54,231,0.17,0.01,troubled,"(39.039, -76.9953)"
116708,Vista at White Oak V,11434 Lockwood Dr,Silver Spring,20904,174529,-76.986922042,39.041179301,09/12/2022,,3,1,96,18,2.22,1.66,3,0.00,0.11,troubled,"(39.0412, -76.9869)"
16960,"Greenwood Avenue, 8309",8309 Greenwood Ave,Takoma Park,20912,177627,-77.000960521,38.993515017,03/27/2023,,3,1,4,6,1.33,2.00,2,0.00,0.00,at-risk,"(38.9935, -77.001)"
